date,anomaly_c,z
1880-01,-0.73,-1.49334
1880-02,-0.752,-1.53565
1880-03,-0.67,-1.37794
1880-04,-0.593,-1.22984
1880-05,-0.739,-1.51065
1880-06,-0.756,-1.54335
1880-07,-0.74026,-1.51308
1880-08,-0.724,-1.4818
1880-09,-0.841,-1.70683
1880-10,-0.766,-1.56258
1880-11,-0.839,-1.70298
1880-12,-0.82,-1.66644
1881-01,-0.74,-1.51257
1881-02,-0.79727,-1.62272
1881-03,-0.849,-1.72221
1881-04,-0.749,-1.52988
1881-05,-0.791,-1.61066
1881-06,-0.702,-1.43949
1881-07,-0.824,-1.67413
1881-08,-0.888,-1.79722
1881-09,-0.676,-1.38948
1881-10,-0.82,-1.66644
1881-11,-0.786,-1.60105
1881-12,-0.886,-1.79338
1882-01,-0.7985,-1.62509
1882-02,-0.711,-1.4568
1882-03,-0.793,-1.61451
1882-04,-0.663,-1.36448
1882-05,-0.75,-1.53181
1882-06,-0.74,-1.51257
1882-07,-0.789,-1.60681
1882-08,-0.62,-1.28177
1882-09,-0.783,-1.59528
1882-10,-0.873,-1.76837
1882-11,-0.715,-1.46449
1882-12,-0.859,-1.74145
1883-01,-0.719,-1.47218
1883-02,-0.866,-1.75491
1883-03,-0.8,-1.62797
1883-04,-0.67,-1.37794
1883-05,-0.63,-1.30101
1883-06,-0.692,-1.42025
1883-07,-0.74,-1.51257
1883-08,-0.928,-1.87416
1883-09,-1.04,-2.08957
1883-10,-0.985,-1.98379
1883-11,-0.96,-1.9357
1883-12,-0.816,-1.65874
1884-01,-0.898,-1.81646
1884-02,-1.04,-2.08957
1884-03,-0.854,-1.73183
1884-04,-0.89364,-1.80807
1884-05,-0.932,-1.88185
1884-06,-0.85,-1.72414
1884-07,-0.85934,-1.74211
1884-08,-0.869,-1.76068
1884-09,-1.028,-2.06649
1884-10,-0.992,-1.99725
1884-11,-0.933,-1.88377
1884-12,-0.862,-1.74722
1885-01,-0.753,-1.53758
1885-02,-0.75563,-1.54263
1885-03,-0.758,-1.54719
1885-04,-0.758,-1.54719
1885-05,-0.603,-1.24908
1885-06,-0.65992,-1.35855
1885-07,-0.715,-1.46449
1885-08,-0.653,-1.34524
1885-09,-0.722,-1.47795
1885-10,-0.808,-1.64336
1885-11,-0.70738,-1.44983
1885-12,-0.61,-1.26254
1886-01,-0.71,-1.45487
1886-02,-0.553,-1.15291
1886-03,-0.869,-1.76068
1886-04,-0.586,-1.21638
1886-05,-0.65,-1.33947
1886-06,-0.699,-1.43372
1886-07,-0.691,-1.41833
1886-08,-0.882,-1.78568
1886-09,-0.758,-1.54719
1886-10,-0.718,-1.47026
1886-11,-0.62,-1.28177
1886-12,-0.761,-1.55296
1887-01,-0.758,-1.54719
1887-02,-0.708,-1.45103
1887-03,-0.575,-1.19522
1887-04,-0.615,-1.27216
1887-05,-0.61893,-1.27972
1887-06,-0.623,-1.28754
1887-07,-0.68,-1.39717
1887-08,-0.635,-1.31062
1887-09,-0.786,-1.60105
1887-10,-0.762,-1.55489
1887-11,-0.759,-1.54912
1887-12,-0.826,-1.67798
1888-01,-0.659,-1.35678
1888-02,-0.636,-1.31255
1888-03,-0.638,-1.31639
1888-04,-0.69441,-1.42489
1888-05,-0.749,-1.52988
1888-06,-0.69,-1.41641
1888-07,-0.705,-1.44526
1888-08,-0.766,-1.56258
1888-09,-0.7289,-1.49123
1888-10,-0.693,-1.42218
1888-11,-0.688,-1.41256
1888-12,-0.684,-1.40487
1889-01,-0.652,-1.34332
1889-02,-0.653,-1.34524
1889-03,-0.781,-1.59143
1889-04,-0.622,-1.28562
1889-05,-0.621,-1.2837
1889-06,-0.446,-0.94711
1889-07,-0.683,-1.40294
1889-08,-0.67,-1.37794
1889-09,-0.712,-1.45872
1889-10,-0.808,-1.64336
1889-11,-0.616,-1.27408
1889-12,-0.628,-1.29716
1890-01,-0.6685,-1.37505
1890-02,-0.709,-1.45295
1890-03,-0.505,-1.06059
1890-04,-0.722,-1.47795
1890-05,-0.568,-1.18176
1890-06,-0.46,-0.97404
1890-07,-0.736,-1.50488
1890-08,-0.726,-1.48565
1890-09,-0.69,-1.41641
1890-10,-0.744,-1.52027
1890-11,-0.821,-1.66836
1890-12,-0.672,-1.38179
1891-01,-0.736,-1.50488
1891-02,-0.588,-1.22023
1891-03,-0.68,-1.39717
1891-04,-0.475,-1.00289
1891-05,-0.67,-1.37794
1891-06,-0.648,-1.33563
1891-07,-0.581,-1.20676
1891-08,-0.6255,-1.29235
1891-09,-0.67,-1.37794
1891-10,-0.74131,-1.51509
1891-11,-0.815,-1.65682
1891-12,-0.652,-1.34332
1892-01,-0.62,-1.28177
1892-02,-0.553,-1.15291
1892-03,-0.695,-1.42602
1892-04,-0.694,-1.4241
1892-05,-0.64187,-1.32383
1892-06,-0.588,-1.22023
1892-07,-0.616,-1.27408
1892-08,-0.632,-1.30485
1892-09,-0.64877,-1.33711
1892-10,-0.665,-1.36832
1892-11,-0.652,-1.34332
1892-12,-0.714,-1.46257
1893-01,-0.481,-1.01443
1893-02,-0.581,-1.20676
1893-03,-0.681,-1.3991
1893-04,-0.525,-1.09906
1893-05,-0.662,-1.36255
1893-06,-0.59644,-1.23646
1893-07,-0.533,-1.11444
1893-08,-0.715,-1.46449
1893-09,-0.59,-1.22407
1893-10,-0.64,-1.32024
1893-11,-0.599,-1.24138
1893-12,-0.494,-1.03943
1894-01,-0.64,-1.32024
1894-02,-0.654,-1.34717
1894-03,-0.64403,-1.328
1894-04,-0.633,-1.30678
1894-05,-0.579,-1.20292
1894-06,-0.563,-1.17214
1894-07,-0.593,-1.22984
1894-08,-0.573,-1.19138
1894-09,-0.655,-1.34909
1894-10,-0.546,-1.13945
1894-11,-0.48095,-1.01433
1894-12,-0.418,-0.89326
1895-01,-0.559,-1.16445
1895-02,-0.652,-1.34332
1895-03,-0.65,-1.33947
1895-04,-0.518,-1.08559
1895-05,-0.581,-1.20676
1895-06,-0.523,-1.09521
1895-07,-0.566,-1.17791
1895-08,-0.634,-1.3087
1895-09,-0.714,-1.46257
1895-10,-0.69728,-1.4304
1895-11,-0.68,-1.39717
1895-12,-0.6318,-1.30447
1896-01,-0.582,-1.20869
1896-02,-0.673,-1.38371
1896-03,-0.54,-1.12791
1896-04,-0.516,-1.08175
1896-05,-0.623,-1.28754
1896-06,-0.56,-1.16637
1896-07,-0.63328,-1.30731
1896-08,-0.709,-1.45295
1896-09,-0.61,-1.26254
1896-10,-0.596,-1.23561
1896-11,-0.55,-1.14714
